task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	a2/b98d76	57091	create_decoy_database (1)	COMPLETED	0	2022-05-13 08:11:47.430	4.1s	1.8s	373.2%	168.2 MB	7.1 GB	26.5 MB	7.4 MB
29	aa/9fb49c	64434	create_searchgui_paramfile	COMPLETED	0	2022-05-13 08:11:51.503	1.8s	901ms	287.6%	11.8 MB	17.9 MB	15.3 MB	25.7 KB
24	6f/b0eac4	57037	convert_raw_mzml (23)	COMPLETED	0	2022-05-13 08:11:47.412	5m 57s	5m 55s	138.3%	1.8 GB	4.3 GB	1.6 GB	681.6 MB
20	e2/85e37d	57457	convert_raw_mzml (19)	COMPLETED	0	2022-05-13 08:11:47.549	6m 23s	6m 20s	132.8%	1.8 GB	5.1 GB	1.6 GB	682.3 MB
18	d0/a133d7	57489	convert_raw_mzml (17)	COMPLETED	0	2022-05-13 08:11:47.564	6m 25s	6m 22s	132.4%	1.8 GB	4.4 GB	1.7 GB	691.8 MB
22	a9/e2f0fe	56992	convert_raw_mzml (21)	COMPLETED	0	2022-05-13 08:11:47.382	6m 26s	6m 25s	133.0%	1.8 GB	4.4 GB	1.6 GB	709.9 MB
6	51/c3f65f	57628	convert_raw_mzml (4)	COMPLETED	0	2022-05-13 08:11:47.615	6m 27s	6m 22s	129.5%	1.8 GB	4.4 GB	1.6 GB	673.3 MB
26	16/7123b1	57148	convert_raw_mzml (25)	COMPLETED	0	2022-05-13 08:11:47.446	6m 31s	6m 29s	131.2%	1.8 GB	4.7 GB	1.7 GB	698.3 MB
13	2f/3a7a55	57007	convert_raw_mzml (12)	COMPLETED	0	2022-05-13 08:11:47.397	6m 33s	6m 31s	135.4%	1.8 GB	4.3 GB	1.6 GB	722.6 MB
15	f8/5c7ca2	57322	convert_raw_mzml (14)	COMPLETED	0	2022-05-13 08:11:47.492	6m 36s	6m 32s	129.8%	1.8 GB	5.1 GB	1.6 GB	682.7 MB
28	7a/bcd75a	57662	convert_raw_mzml (27)	COMPLETED	0	2022-05-13 08:11:47.624	6m 40s	6m 36s	128.3%	1.8 GB	4.6 GB	1.6 GB	713.1 MB
