"","genotypeX2500amol.genotypeX125amol.estimate","genotypeX2500amol.genotypeX125amol.se","genotypeX2500amol.genotypeX125amol.df","genotypeX2500amol.genotypeX125amol.Tval","genotypeX2500amol.genotypeX125amol.pval","genotypeX2500amol.genotypeX125amol.qval","genotypeX50000amol.genotypeX125amol.estimate","genotypeX50000amol.genotypeX125amol.se","genotypeX50000amol.genotypeX125amol.df","genotypeX50000amol.genotypeX125amol.Tval","genotypeX50000amol.genotypeX125amol.pval","genotypeX50000amol.genotypeX125amol.qval","genotypeX500amol.genotypeX125amol.estimate","genotypeX500amol.genotypeX125amol.se","genotypeX500amol.genotypeX125amol.df","genotypeX500amol.genotypeX125amol.Tval","genotypeX500amol.genotypeX125amol.pval","genotypeX500amol.genotypeX125amol.qval","genotypeX12500amol.genotypeX125amol.estimate","genotypeX12500amol.genotypeX125amol.se","genotypeX12500amol.genotypeX125amol.df","genotypeX12500amol.genotypeX125amol.Tval","genotypeX12500amol.genotypeX125amol.pval","genotypeX12500amol.genotypeX125amol.qval","genotypeX25000amol.genotypeX125amol.estimate","genotypeX25000amol.genotypeX125amol.se","genotypeX25000amol.genotypeX125amol.df","genotypeX25000amol.genotypeX125amol.Tval","genotypeX25000amol.genotypeX125amol.pval","genotypeX25000amol.genotypeX125amol.qval","genotypeX250amol.genotypeX125amol.estimate","genotypeX250amol.genotypeX125amol.se","genotypeX250amol.genotypeX125amol.df","genotypeX250amol.genotypeX125amol.Tval","genotypeX250amol.genotypeX125amol.pval","genotypeX250amol.genotypeX125amol.qval","genotypeX5000amol.genotypeX125amol.estimate","genotypeX5000amol.genotypeX125amol.se","genotypeX5000amol.genotypeX125amol.df","genotypeX5000amol.genotypeX125amol.Tval","genotypeX5000amol.genotypeX125amol.pval","genotypeX5000amol.genotypeX125amol.qval","genotypeX50amol.genotypeX125amol.estimate","genotypeX50amol.genotypeX125amol.se","genotypeX50amol.genotypeX125amol.df","genotypeX50amol.genotypeX125amol.Tval","genotypeX50amol.genotypeX125amol.pval","genotypeX50amol.genotypeX125amol.qval"
"P17255",0.050458292536857,0.0277685916864147,491.517827227291,1.81709944482143,0.0698107087420435,0.222647322119686,-0.0158486923832948,0.0279201899756826,491.517827227291,-0.56764271292919,0.570536779526415,0.869663372078798,0.0127130649620813,0.0276684611744041,491.517827227291,0.459478569550592,0.646093688115754,1,0.0160597700976151,0.0277017361088961,491.517827227291,0.579738758411523,0.562356434199873,0.903037095582369,0.0024180317883983,0.0279184535412403,491.517827227291,0.0866105203437022,0.931016374230593,1,-0.0146520098833548,0.0276983269657607,491.517827227291,-0.528985375234643,0.597054393456113,1,0.034717810695892,0.0277880271791528,491.517827227291,1.24938019068652,0.212120676226913,0.475813837209901,-0.0105794724227535,0.0286015332327312,491.517827227291,-0.369891793445761,0.711622437537996,1
"P38011",0.0355499833607148,0.04410932780057,202.981433955275,0.805951601018399,0.421213940961437,0.749343563182013,-0.166229288266121,0.0453787150585721,202.981433955275,-3.66315546950948,0.00031787813897312,0.00230814852863963,0.0150415554776958,0.044745125672385,202.981433955275,0.336160760567018,0.737096885529954,1,-0.0222150174533893,0.0442149816092715,202.981433955275,-0.502431905314441,0.615908378552783,0.951523123752204,-0.0800391619488167,0.0447616670440308,202.981433955275,-1.78811843334799,0.0752484896386947,0.229596769566884,0.00976011655499548,0.0446517944636656,202.981433955275,0.218582851422412,0.827194624214689,1,0.0643844813794175,0.0441952039249433,202.981433955275,1.45682055203912,0.146711101230113,0.374753971771477,0.141869620873862,0.0458882654904722,202.981433955275,3.09163180079924,0.00227027695165863,0.0407593908530341
"P25361",NA,NA,5.04854863117686,NA,NA,NA,NA,NA,5.04854863117686,NA,NA,NA,NA,NA,5.04854863117686,NA,NA,NA,NA,NA,5.04854863117686,NA,NA,NA,NA,NA,5.04854863117686,NA,NA,NA,NA,NA,5.04854863117686,NA,NA,NA,NA,NA,5.04854863117686,NA,NA,NA,NA,NA,5.04854863117686,NA,NA,NA
"P38086",4.24861409097394,0.382469896078919,7.22535081407433,11.1083620816454,8.42314392061702e-06,0.000145065256410626,NA,NA,7.22535081407433,NA,NA,NA,4.74206424019284,0.393398155766516,7.22535081407433,12.0541089750489,4.79522417957281e-06,0.00158347029975753,4.21040361716284,0.382469896078919,7.22535081407433,11.0084575552949,8.96213644807128e-06,0.000157652127518345,3.96023335756911,0.436063875684195,7.22535081407433,9.08177351622031,3.30841975580889e-05,0.000474819501991091,NA,NA,7.22535081407433,NA,NA,NA,4.03262276765531,0.382469896078919,7.22535081407433,10.5436344376322,1.20421259105541e-05,0.000179473991936142,1.868194086951,0.49081769956029,7.22535081407433,3.80628915506645,0.0062758701093999,0.0835339952492538
"P22141",0.00633289995106347,0.0332932436285807,53.4369213050068,0.190215769352884,0.849860826074983,1,-0.0157372963482822,0.0335182462281118,53.4369213050068,-0.469514312926172,0.640612311531198,0.924142575338524,-0.000190117947565334,0.0332932436285806,53.4369213050068,-0.00571040628201595,0.995465045073718,1,-0.00465917231160767,0.0332932436285806,53.4369213050068,-0.139943478129839,0.88923079605287,1,-0.0081540798426339,0.0334617301223021,53.4369213050068,-0.243683748952337,0.808408880842284,1,0.00372603653037847,0.0332959858549699,53.4369213050068,0.111906478655063,0.911316864738259,1,0.00186356195718634,0.0332932436285807,53.4369213050068,0.055974178364122,0.955571144517768,1,-0.00672443012564289,0.0335478558238263,53.4369213050068,-0.200442918347917,0.84189512258789,1
"P00498",1.060667545557e-19,2.53113308502645e-10,106.082088712701,4.19048509077474e-10,0.999999999666435,1,-1.9101411622928e-20,2.53113308502645e-10,106.082088712701,-7.54658525698514e-11,0.999999999939929,1,-1.7717748674845e-19,2.53113308502645e-10,106.082088712701,-6.99992773183626e-10,0.999999999442801,1,9.18671541651785e-20,2.53113308502645e-10,106.082088712701,3.62948731177516e-10,0.99999999971109,1,5.756600885072e-20,2.53113308502645e-10,106.082088712701,2.27431774296128e-10,0.999999999818963,1,2.11642939083467e-20,2.53113308502645e-10,106.082088712701,8.3615887420339e-11,0.999999999933441,1,1.70389414919767e-19,2.53113308502645e-10,106.082088712701,6.73174460591375e-10,0.999999999464149,1,-7.03058958583792e-20,2.53113308502645e-10,106.082088712701,-2.77764516904667e-10,0.999999999778898,1
"P49723",0.232922277425182,0.0578850623870776,126.95344727169,4.02387538027739,9.77377306442306e-05,0.00120232922617903,0.0245124562948042,0.0588078504284022,126.95344727169,0.416822858108847,0.67751191994371,0.945845493971595,0.0486014746649254,0.0587358029078764,126.95344727169,0.827459100902288,0.409529571720153,0.995273529151542,0.150337604389276,0.0580120543750069,126.95344727169,2.59148906221196,0.0106752217960344,0.0607160258661688,0.0828569045112163,0.0580716448809588,126.95344727169,1.42680484909744,0.156090923440294,0.411464168932748,0.0673149614092172,0.0580780370790187,126.95344727169,1.15904332850697,0.248613968418639,1,0.253768119437998,0.0578850623870776,126.95344727169,4.38400010249707,2.41916180098276e-05,0.000307352523895351,-0.104517503572913,0.0580348655297996,126.95344727169,-1.80094332292793,0.0740856534009646,0.391740578257155
"P00812",-0.108270271362375,0.0638342898717447,69.8962996983705,-1.69611460517397,0.0943141674646337,0.2751837436842,-0.198827342430795,0.0667463765075536,69.8962996983705,-2.97884848338237,0.00397570342963593,0.0187701392223418,0.0146961533937608,0.0649409355917679,69.8962996983705,0.22630030288051,0.821628343908711,1,-0.155345759854407,0.0623516598198105,69.8962996983705,-2.49144546116879,0.0150989037418286,0.0758866980271124,-0.222162354647888,0.0639886543542768,69.8962996983705,-3.47190227532951,0.000890515612444126,0.00775448988364268,-0.0376607530466827,0.0635339126377004,69.8962996983705,-0.592766154060771,0.555250689659216,1,-0.121238610043158,0.0636132783181081,69.8962996983705,-1.90586954875813,0.0607800161057252,0.197194777543294,-0.126033948354925,0.0678705253110474,69.8962996983705,-1.85697617304887,0.0675283559043949,0.372370648272806
"P25374",-0.829767011759366,0.321431604995428,2.32312577168689,-2.58147300658617,0.105813987520517,0.29604996508448,NA,NA,2.32312577168689,NA,NA,NA,NA,NA,2.32312577168689,NA,NA,NA,NA,NA,2.32312577168689,NA,NA,NA,NA,NA,2.32312577168689,NA,NA,NA,NA,NA,2.32312577168689,NA,NA,NA,NA,NA,2.32312577168689,NA,NA,NA,NA,NA,2.32312577168689,NA,NA,NA
"P31539",0.180514851445671,0.0353160252995004,416.913386155802,5.11141471654299,4.88075199022876e-07,1.30433889394044e-05,-0.0115418895432351,0.0354541242847352,416.913386155802,-0.325544341485947,0.744932447801103,1,0.0231641929068564,0.0355122352193821,416.913386155802,0.652287662653622,0.514575080795549,1,0.107371749982984,0.0354501647255394,416.913386155802,3.02880821046312,0.00260783544357698,0.0214721123163323,0.111643214519814,0.0351168684897779,416.913386155802,3.17919049508392,0.00158702762710563,0.0124237011212814,0.0276947156268468,0.0355810018619266,416.913386155802,0.778356824642464,0.436800197955849,1,0.171017127714741,0.0356812910383989,416.913386155802,4.79290750804669,2.29026960814481e-06,4.12781150305169e-05,0.0477974920986596,0.0367514323868198,416.913386155802,1.30056133855075,0.194127075904308,0.692355136978872
