task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
14	f0/32f3c1	876404	create_decoy_database (1)	COMPLETED	0	2022-07-06 10:37:51.741	9s	6.9s	84.7%	304.8 MB	6.3 GB	26.5 MB	7.4 MB
21	6e/acbba6	885756	create_searchgui_paramfile	COMPLETED	0	2022-07-06 10:38:00.725	3.9s	2.8s	86.2%	118.1 MB	6.2 GB	15.3 MB	25.7 KB
24	ab/43d827	876449	convert_raw_mzml (22)	COMPLETED	0	2022-07-06 10:37:51.756	7m 59s	7m 56s	94.7%	1.7 GB	4.3 GB	1.6 GB	666.9 MB
20	50/015a4d	876292	convert_raw_mzml (19)	COMPLETED	0	2022-07-06 10:37:51.694	8m 10s	8m 7s	94.6%	1.8 GB	4.4 GB	1.6 GB	672.4 MB
28	fa/bbc1a1	876426	convert_raw_mzml (26)	COMPLETED	0	2022-07-06 10:37:51.749	8m 11s	8m 9s	94.9%	1.8 GB	4.8 GB	1.6 GB	681.6 MB
26	cc/556612	876277	convert_raw_mzml (24)	COMPLETED	0	2022-07-06 10:37:51.680	8m 12s	8m 10s	94.8%	1.8 GB	4.4 GB	1.6 GB	688.7 MB
23	fb/7dce66	876321	convert_raw_mzml (21)	COMPLETED	0	2022-07-06 10:37:51.713	8m 13s	8m 11s	95.1%	1.8 GB	4.4 GB	1.6 GB	682.7 MB
17	64/020714	876471	convert_raw_mzml (17)	COMPLETED	0	2022-07-06 10:37:51.761	8m 15s	8m 13s	94.7%	1.8 GB	4.4 GB	1.6 GB	682.3 MB
11	fd/321316	876268	convert_raw_mzml (11)	COMPLETED	0	2022-07-06 10:37:51.657	8m 19s	8m 17s	95.0%	1.8 GB	4.5 GB	1.6 GB	685.4 MB
6	e3/873520	876342	convert_raw_mzml (5)	COMPLETED	0	2022-07-06 10:37:51.721	8m 20s	8m 16s	94.5%	1.8 GB	4.4 GB	1.6 GB	690.5 MB
25	c0/fd6a67	876561	convert_raw_mzml (23)	COMPLETED	0	2022-07-06 10:37:51.787	8m 22s	8m 18s	94.5%	1.8 GB	4.5 GB	1.6 GB	691.3 MB
1	8e/92b09f	876390	convert_raw_mzml (1)	COMPLETED	0	2022-07-06 10:37:51.734	8m 22s	8m 19s	94.7%	1.8 GB	5 GB	1.6 GB	706.5 MB
16	75/1b3efc	876362	convert_raw_mzml (15)	COMPLETED	0	2022-07-06 10:37:51.728	8m 24s	8m 22s	94.7%	1.8 GB	4.3 GB	1.6 GB	715.6 MB
9	30/41f7a7	876505	convert_raw_mzml (7)	COMPLETED	0	2022-07-06 10:37:51.772	8m 25s	8m 22s	94.7%	1.8 GB	4.5 GB	1.6 GB	707 MB
27	0e/640326	876313	convert_raw_mzml (25)	COMPLETED	0	2022-07-06 10:37:51.705	8m 28s	8m 25s	94.6%	1.8 GB	4.4 GB	1.6 GB	692.6 MB
12	b4/aee2e8	876493	convert_raw_mzml (12)	COMPLETED	0	2022-07-06 10:37:51.767	8m 30s	8m 27s	94.3%	1.8 GB	4.4 GB	1.6 GB	709.9 MB
