	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
1	Single Protein	P00918	Carbonic anhydrase 2 (CAH2_HUMAN)	P00918		8	CA2	Homo sapiens		3.85	3.85	37.31	1	1	1	1	1	1					1234.014793246275	29.22792218663053	27.516778523489936	Doubtful
2	Single Protein	P02768	Serum albumin (ALBU_HUMAN)	P02768		4	ALB	Homo sapiens		13.46	14.94	46.8	9	8	2	1	13	12					4619.978190855353	69.32149565531074	27.516778523489936	Doubtful
3	Single Protein	P00441	Superoxide dismutase [Cu-Zn] (SODC_HUMAN)	P00441		21	SOD1	Homo sapiens		0.0	6.49	46.1	1	0	1	0	1	0					0.0	15.92590382646478	27.516778523489936	Doubtful
4	Single Protein	P68871	Hemoglobin subunit beta (HBB_HUMAN)	P68871		11	HBB	Homo sapiens		12.93	12.93	41.5	2	2	1	1	3	2					3924.5716375373345	15.98829017826688	27.516778523489936	Doubtful
5	Single Protein	P15559	NAD(P)H dehydrogenase [quinone] 1 (NQO1_HUMAN)	P15559		16	NQO1	Homo sapiens		7.66	7.66	26.64	2	2	2	2	2	2					3279.436573832567	30.84800822542608	27.516778523489936	Doubtful
6	Single Protein	P00915	Carbonic anhydrase 1 (CAH1_HUMAN)	P00915		8	CA1	Homo sapiens		3.45	3.45	29.12	1	1	1	1	1	1					1574.992565064325	28.85238815498374	27.516778523489936	Doubtful
7	Single Protein	P63165	Small ubiquitin-related modifier 1 (SUMO1_HUMAN)	P63165		2	SUMO1	Homo sapiens		11.88	11.88	49.5	1	1	1	1	2	1					2393.9886988977737	11.5497055055458	27.516778523489936	Doubtful
8	Related Proteins	P55957	BH3-interacting domain death agonist (BID_HUMAN)	P55957,P55957-2	P55957-2	22	BID	Homo sapiens		5.64	5.64	36.41	1	1	1	1	1	1	Oxidation of M (M96)	Oxidation of M (1)			1685.907534435052	21.98104569127742	27.516778523489936	Doubtful
9	Single Protein	P00709	Alpha-lactalbumin (LALBA_HUMAN)	P00709		12	LALBA	Homo sapiens		6.34	6.34	38.03	1	1	1	1	1	1					2216.656202683124	16.2141242545729	27.516778523489936	Doubtful
10	Related Proteins	P32119	Peroxiredoxin-2 (PRDX2_HUMAN)	P32119,Q06830	Q06830	19	PRDX2	Homo sapiens		0.0	5.56	40.91	1	0	1	0	1	1					0.0	21.87823782783635	27.516778523489936	Doubtful
11	Related Proteins	P60709	Actin, cytoplasmic 1 (ACTB_HUMAN)	P60709,P63261	P63261	7	ACTB	Homo sapiens		2.67	4.8	30.67	2	1	1	1	2	2					1040.8646516946844	41.70973013902917	27.516778523489936	Doubtful
12	Related Proteins	P06396	Gelsolin (GELS_HUMAN)	P06396,P06396-2	P06396-2	9	GSN	Homo sapiens		1.41	2.81	30.82	2	1	2	1	2	1					496.67815329829335	85.64418928565442	27.516778523489936	Doubtful
