"","genotypeX2500amol.genotypeX125amol.estimate","genotypeX2500amol.genotypeX125amol.se","genotypeX2500amol.genotypeX125amol.df","genotypeX2500amol.genotypeX125amol.Tval","genotypeX2500amol.genotypeX125amol.pval","genotypeX2500amol.genotypeX125amol.qval","genotypeX50000amol.genotypeX125amol.estimate","genotypeX50000amol.genotypeX125amol.se","genotypeX50000amol.genotypeX125amol.df","genotypeX50000amol.genotypeX125amol.Tval","genotypeX50000amol.genotypeX125amol.pval","genotypeX50000amol.genotypeX125amol.qval","genotypeX500amol.genotypeX125amol.estimate","genotypeX500amol.genotypeX125amol.se","genotypeX500amol.genotypeX125amol.df","genotypeX500amol.genotypeX125amol.Tval","genotypeX500amol.genotypeX125amol.pval","genotypeX500amol.genotypeX125amol.qval","genotypeX12500amol.genotypeX125amol.estimate","genotypeX12500amol.genotypeX125amol.se","genotypeX12500amol.genotypeX125amol.df","genotypeX12500amol.genotypeX125amol.Tval","genotypeX12500amol.genotypeX125amol.pval","genotypeX12500amol.genotypeX125amol.qval","genotypeX25000amol.genotypeX125amol.estimate","genotypeX25000amol.genotypeX125amol.se","genotypeX25000amol.genotypeX125amol.df","genotypeX25000amol.genotypeX125amol.Tval","genotypeX25000amol.genotypeX125amol.pval","genotypeX25000amol.genotypeX125amol.qval","genotypeX250amol.genotypeX125amol.estimate","genotypeX250amol.genotypeX125amol.se","genotypeX250amol.genotypeX125amol.df","genotypeX250amol.genotypeX125amol.Tval","genotypeX250amol.genotypeX125amol.pval","genotypeX250amol.genotypeX125amol.qval","genotypeX5000amol.genotypeX125amol.estimate","genotypeX5000amol.genotypeX125amol.se","genotypeX5000amol.genotypeX125amol.df","genotypeX5000amol.genotypeX125amol.Tval","genotypeX5000amol.genotypeX125amol.pval","genotypeX5000amol.genotypeX125amol.qval","genotypeX50amol.genotypeX125amol.estimate","genotypeX50amol.genotypeX125amol.se","genotypeX50amol.genotypeX125amol.df","genotypeX50amol.genotypeX125amol.Tval","genotypeX50amol.genotypeX125amol.pval","genotypeX50amol.genotypeX125amol.qval"
"P17255",0.0317499794111013,0.0270180294579014,472.556437578018,1.17514045428713,0.240530293839336,0.547460456714734,-0.0342095540629182,0.0272489765772353,472.556437578018,-1.25544362981683,0.209938189537282,0.429268350711759,0.0036490603448035,0.0269207032785165,472.556437578018,0.135548477580656,0.892235957710687,1,0.0195850976058038,0.030109621899522,472.556437578018,0.65045976569087,0.515711395202495,0.905725479957002,-0.00720229416115132,0.0271759836185907,472.556437578018,-0.265024231035536,0.791106358403415,1,-0.0177144629726906,0.0269424038949455,472.556437578018,-0.657493779759344,0.511183588954399,1,0.018059176815305,0.027032101899189,472.556437578018,0.668064099589932,0.504418830505173,0.852304514726021,-0.0215256821377484,0.0277822779680894,472.556437578018,-0.774799034207082,0.438845923421454,0.909543567091239
"P38011",0.0175386485661928,0.0418780815179866,195.349508121745,0.418802579546534,0.675820518796205,0.98626359264777,-0.129157747686921,0.0429041220868246,195.349508121745,-3.01038085397821,0.00295360002994544,0.0133427164143465,-0.0029488274840157,0.042258619322508,195.349508121745,-0.0697804975953174,0.944439749475856,1,0.0142487833449764,0.0466932355842958,195.349508121745,0.305157335247264,0.760571216668009,1,-0.0375617510786557,0.0423621541847485,195.349508121745,-0.886681798919918,0.376340513533421,0.697881895298217,0.00127072776186156,0.042194307101528,195.349508121745,0.0301160950173666,0.976005210205037,1,0.0436019711648897,0.0419437865135889,195.349508121745,1.03953349921719,0.29984160345988,0.614794587465484,0.109743095956094,0.0430596071889882,195.349508121745,2.54863207354477,0.0115831618061038,0.109598376644814
"P25361",NA,NA,4.90666186959175,NA,NA,NA,NA,NA,4.90666186959175,NA,NA,NA,NA,NA,4.90666186959175,NA,NA,NA,NA,NA,4.90666186959175,NA,NA,NA,NA,NA,4.90666186959175,NA,NA,NA,NA,NA,4.90666186959175,NA,NA,NA,NA,NA,4.90666186959175,NA,NA,NA,NA,NA,4.90666186959175,NA,NA,NA
"P38086",3.51024733094453,0.701882479336674,6.3194744404108,5.00118956418736,0.00210842211346115,0.0164414330463839,NA,NA,6.3194744404108,NA,NA,NA,3.88528918670016,0.726490546314806,6.3194744404108,5.34802442565656,0.00148267382621116,0.065267762831164,3.4674339579928,0.833038233067261,6.3194744404108,4.16239473814503,0.00529263246888247,0.0453402181500932,3.34017028469056,0.796503901712112,6.3194744404108,4.19353913711,0.00510543896850334,0.0303577255588698,NA,NA,6.3194744404108,NA,NA,NA,3.32422658801345,0.701882479336674,6.3194744404108,4.73615838246178,0.00278959771103908,0.0186536175999512,1.0208499715672,0.79157259877232,6.3194744404108,1.2896479402527,0.242358670597812,0.676816238840458
"P22141",0.0225445840950803,0.0593562182193954,50.1031066617721,0.379818404396149,0.705685487149488,1,-0.0540998333821817,0.0605446561816975,50.1031066617721,-0.893552574149988,0.375833451038834,0.650637571978608,-0.00441155277792582,0.0593562182193955,50.1031066617721,-0.074323346572041,0.941049050186811,1,-0.0167090794722969,0.0662930946876353,50.1031066617721,-0.252048566310383,0.802034600747386,1,-0.027978718639342,0.0602076100207434,50.1031066617721,-0.464704023788727,0.644156642337235,0.97693692763664,0.0056444687466897,0.0593562182193954,50.1031066617721,0.0950948176284806,0.924618829324931,1,0.00869216688592639,0.0593562182193954,50.1031066617721,0.146440712475953,0.884161125017261,1,-0.0238743215613238,0.0606405548361658,50.1031066617721,-0.393702228250149,0.695471419798938,1
"P00498",7.16047007918617e-20,2.58854786925026e-10,101.819785334521,2.76621118900155e-10,0.999999999779829,1,-5.34260234335235e-20,2.58854786925025e-10,101.819785334521,-2.06393801204835e-10,0.999999999835725,1,-2.10365314506673e-19,2.58854786925026e-10,101.819785334521,-8.12676933680205e-10,0.999999999353168,1,-3.13236592676383e-21,2.89408449932791e-10,101.819785334521,-1.08233395655561e-11,0.999999999991385,1,3.63549651263608e-20,2.58854786925026e-10,101.819785334521,1.40445403997456e-10,0.999999999888216,1,-4.94578403394739e-21,2.58854786925026e-10,101.819785334521,-1.91064036045038e-11,0.999999999984793,1,1.46900861108076e-19,2.58854786925026e-10,101.819785334521,5.67502972817821e-10,0.999999999548309,1,-9.77560186594849e-20,2.58854786925026e-10,101.819785334521,-3.77648100777826e-10,0.999999999699419,1
"P49723",0.18136675710245,0.0553770204387342,121.910065979199,3.27512668008391,0.00137520411822452,0.0121803437120021,-0.00471737170990463,0.056254157841291,121.910065979199,-0.0838581873932533,0.933306730721782,1,0.0289119953912476,0.0561074117849419,121.910065979199,0.515297257019561,0.607278460013647,1,0.151690965423827,0.0625465087045469,121.910065979199,2.42525072247238,0.0167637963754794,0.09930927943885,0.0806575971826757,0.0554969354370618,121.910065979199,1.45337029058385,0.148690341702621,0.388982846226073,0.0634204554917312,0.0555032086762044,121.910065979199,1.14264484890801,0.255425177502313,1,0.20537496561354,0.0553770204387342,121.910065979199,3.70866767454119,0.000314955895186138,0.00342902685885753,-0.120529166227279,0.0554348175904845,121.910065979199,-2.17425025401307,0.0316180739745296,0.217656562806806
"P00812",-0.108116068249919,0.0606231675415392,66.7188802750539,-1.78341173241793,0.0790674595976255,0.252929936680147,-0.193746698151297,0.063922232498107,66.7188802750539,-3.03097514870174,0.00346774234531865,0.0154852632316816,0.005673037603521,0.0617455338571928,66.7188802750539,0.0918776994728364,0.927070521582696,1,-0.155811065187633,0.0653679255969563,66.7188802750539,-2.38360118918763,0.0199973454124174,0.112676434285083,-0.219171790739149,0.0612432150494484,66.7188802750539,-3.57871138153323,0.000649162838317603,0.005767849126661,-0.0420530339382808,0.0606417827755009,66.7188802750539,-0.693466319978806,0.49042419521886,1,-0.115836901006658,0.0610310955334846,66.7188802750539,-1.89799806138338,0.0620236213018404,0.218923558293711,-0.122352590501186,0.064387401591819,66.7188802750539,-1.90025668805265,0.0617216407763112,0.32594099341463
"P25374",-0.247172158158351,0.209087246517753,2.24600653042565,-1.18214842021636,0.347142756122353,0.69249149283322,NA,NA,2.24600653042565,NA,NA,NA,NA,NA,2.24600653042565,NA,NA,NA,NA,NA,2.24600653042565,NA,NA,NA,NA,NA,2.24600653042565,NA,NA,NA,NA,NA,2.24600653042565,NA,NA,NA,NA,NA,2.24600653042565,NA,NA,NA,NA,NA,2.24600653042565,NA,NA,NA
"P31539",0.150903092743575,0.0343685845049757,401.729068184133,4.39072760537252,1.44645245175704e-05,0.000272356412867423,-0.0580508264765895,0.0346152140937247,401.729068184133,-1.6770321373547,0.0943140719077853,0.232430064377493,0.00473969797160061,0.0345665539549777,401.729068184133,0.13711803547944,0.8910061896158,1,0.112137983271793,0.0381281837436371,401.729068184133,2.9410785477162,0.00345995536329597,0.0316469256762532,0.0977502235783968,0.0342871472952589,401.729068184133,2.85092902995501,0.00458395828569788,0.027468215153833,0.0143655681482043,0.034637042897132,401.729068184133,0.414745802373153,0.678549386316137,1,0.140055261231956,0.0348301006551252,401.729068184133,4.0210983774848,6.91978522335378e-05,0.000938419996079381,0.0185809870866848,0.0357919454967913,401.729068184133,0.519138784684128,0.603949835786356,1
