	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
1	Single Protein	P00918	Carbonic anhydrase 2 (CAH2_HUMAN)	P00918		8	CA2	Homo sapiens		3.85	3.85	37.31	1	1	1	1	1	1					1169.0870668603638	29.22792218663053	26.530612244897956	Doubtful
2	Related Proteins	P01133	Pro-epidermal growth factor (EGF_HUMAN)	P01133,P01133-2	P01133-2	4	EGF	Homo sapiens		0.0	0.66	26.76	1	0	1	0	1	0					0.0	133.90643719863806	26.530612244897956	Doubtful
3	Single Protein	P02768	Serum albumin (ALBU_HUMAN)	P02768		4	ALB	Homo sapiens		10.02	11.99	46.8	7	6	2	2	9	8					3183.1984697671664	69.32149565531074	26.530612244897956	Doubtful
4	Single Protein	P00441	Superoxide dismutase [Cu-Zn] (SODC_HUMAN)	P00441		21	SOD1	Homo sapiens		0.0	6.49	46.1	1	0	1	0	1	0					0.0	15.92590382646478	26.530612244897956	Doubtful
5	Single Protein	P68871	Hemoglobin subunit beta (HBB_HUMAN)	P68871		11	HBB	Homo sapiens		12.93	12.93	41.5	2	2	1	1	2	2					3718.0801798509938	15.98829017826688	26.530612244897956	Doubtful
6	Single Protein	P15559	NAD(P)H dehydrogenase [quinone] 1 (NQO1_HUMAN)	P15559		16	NQO1	Homo sapiens		7.66	7.66	26.64	2	2	2	2	2	2					3106.8889174097344	30.84800822542608	26.530612244897956	Doubtful
7	Single Protein	P00915	Carbonic anhydrase 1 (CAH1_HUMAN)	P00915		8	CA1	Homo sapiens		3.45	3.45	29.12	1	1	1	1	1	1					1492.124282703359	28.85238815498374	26.530612244897956	Doubtful
8	Single Protein	P04264	Keratin, type II cytoskeletal 1 (K2C1_HUMAN)	P04264		12	KRT1	Homo sapiens		3.26	3.26	41.93	2	2	1	1	2	1					420.0053536498345	65.99900087210395	26.530612244897956	Doubtful
9	Single Protein	P63165	Small ubiquitin-related modifier 1 (SUMO1_HUMAN)	P63165		2	SUMO1	Homo sapiens		11.88	11.88	49.5	1	1	1	1	2	1					2268.028909709106	11.5497055055458	26.530612244897956	Doubtful
10	Single Protein	P00709	Alpha-lactalbumin (LALBA_HUMAN)	P00709		12	LALBA	Homo sapiens		6.34	6.34	38.03	1	1	1	1	1	1					2100.026768249172	16.2141242545729	26.530612244897956	Doubtful
11	Related Proteins	P60709	Actin, cytoplasmic 1 (ACTB_HUMAN)	P60709,P63261	P63261	7	ACTB	Homo sapiens		4.8	4.8	30.67	2	2	1	1	2	1	Oxidation of M (M189)	Oxidation of M (1)			986.099525960481	41.70973013902917	26.530612244897956	Doubtful
12	Single Protein	Q06830	Peroxiredoxin-1 (PRDX1_HUMAN)	Q06830		1	PRDX1	Homo sapiens		15.58	15.58	47.24	3	3	1	1	3	2					2412.7967124564957	22.09627884742665	26.530612244897956	Doubtful
13	Related Proteins	P06396	Gelsolin (GELS_HUMAN)	P06396,P06396-2	P06396-2	9	GSN	Homo sapiens		1.41	2.81	30.82	2	1	2	1	2	1					470.5454169520967	85.64418928565442	26.530612244897956	Doubtful
