"","genotypeX2500amol.genotypeX125amol.estimate","genotypeX2500amol.genotypeX125amol.se","genotypeX2500amol.genotypeX125amol.df","genotypeX2500amol.genotypeX125amol.Tval","genotypeX2500amol.genotypeX125amol.pval","genotypeX2500amol.genotypeX125amol.qval","genotypeX50000amol.genotypeX125amol.estimate","genotypeX50000amol.genotypeX125amol.se","genotypeX50000amol.genotypeX125amol.df","genotypeX50000amol.genotypeX125amol.Tval","genotypeX50000amol.genotypeX125amol.pval","genotypeX50000amol.genotypeX125amol.qval","genotypeX500amol.genotypeX125amol.estimate","genotypeX500amol.genotypeX125amol.se","genotypeX500amol.genotypeX125amol.df","genotypeX500amol.genotypeX125amol.Tval","genotypeX500amol.genotypeX125amol.pval","genotypeX500amol.genotypeX125amol.qval","genotypeX12500amol.genotypeX125amol.estimate","genotypeX12500amol.genotypeX125amol.se","genotypeX12500amol.genotypeX125amol.df","genotypeX12500amol.genotypeX125amol.Tval","genotypeX12500amol.genotypeX125amol.pval","genotypeX12500amol.genotypeX125amol.qval","genotypeX25000amol.genotypeX125amol.estimate","genotypeX25000amol.genotypeX125amol.se","genotypeX25000amol.genotypeX125amol.df","genotypeX25000amol.genotypeX125amol.Tval","genotypeX25000amol.genotypeX125amol.pval","genotypeX25000amol.genotypeX125amol.qval","genotypeX250amol.genotypeX125amol.estimate","genotypeX250amol.genotypeX125amol.se","genotypeX250amol.genotypeX125amol.df","genotypeX250amol.genotypeX125amol.Tval","genotypeX250amol.genotypeX125amol.pval","genotypeX250amol.genotypeX125amol.qval","genotypeX5000amol.genotypeX125amol.estimate","genotypeX5000amol.genotypeX125amol.se","genotypeX5000amol.genotypeX125amol.df","genotypeX5000amol.genotypeX125amol.Tval","genotypeX5000amol.genotypeX125amol.pval","genotypeX5000amol.genotypeX125amol.qval","genotypeX50amol.genotypeX125amol.estimate","genotypeX50amol.genotypeX125amol.se","genotypeX50amol.genotypeX125amol.df","genotypeX50amol.genotypeX125amol.Tval","genotypeX50amol.genotypeX125amol.pval","genotypeX50amol.genotypeX125amol.qval"
"P17255",0.050348709747717,0.0277656332977435,491.541471002226,1.8133463482646,0.0703881617334526,0.224488993182822,-0.0156432539508322,0.0279151143584011,491.541471002226,-0.560386525736169,0.575471135948507,0.875570341609154,0.01262850190255,0.0276693823516895,491.541471002226,0.456407076314046,0.648298875341084,1,0.0161638211310268,0.0277009304244845,491.541471002226,0.583511849000558,0.559816420892127,0.904473332978669,0.00239011167952716,0.0279174179670095,491.541471002226,0.0856136367034945,0.93180841807889,1,-0.0146121930260731,0.0276993363102012,491.541471002226,-0.527528633265185,0.598064563937424,1,0.0345871099529353,0.0277859736378837,491.541471002226,1.24476868810452,0.213809932080822,0.478909529949818,-0.0104088643426991,0.0285924858565668,491.541471002226,-0.364041951263519,0.715983220636611,1
"P38011",0.0352125266548775,0.0441159219023832,202.996676589434,0.798181815916562,0.425697754949807,0.756687523133257,-0.166206984149461,0.0453724834131465,202.996676589434,-3.66316700446031,0.000317859132140398,0.00230948647940563,0.015102978228822,0.044760823999876,202.996676589434,0.337415107212142,0.736152628659941,1,-0.0222024337876934,0.0442079507553271,202.996676589434,-0.502227165212311,0.616052077990826,0.953648616729799,-0.0800695124905196,0.0447562115320896,202.996676589434,-1.78901452445569,0.0751034566564532,0.229154247672249,0.00959696563746393,0.044658959189747,202.996676589434,0.214894520866201,0.830065289903131,1,0.0641204110791733,0.0441987232596741,202.996676589434,1.45072993856534,0.148398540372394,0.375151257236451,0.140320521831751,0.0458909478338726,202.996676589434,3.05769500206702,0.00253081514021918,0.0434175397388713
"P25361",NA,NA,5.05722068968377,NA,NA,NA,NA,NA,5.05722068968377,NA,NA,NA,NA,NA,5.05722068968377,NA,NA,NA,NA,NA,5.05722068968377,NA,NA,NA,NA,NA,5.05722068968377,NA,NA,NA,NA,NA,5.05722068968377,NA,NA,NA,NA,NA,5.05722068968377,NA,NA,NA,NA,NA,5.05722068968377,NA,NA,NA
"P38086",4.23496357190553,0.391761100555601,6.99185386405956,10.8100665581638,1.28813559831841e-05,0.000212405338020588,NA,NA,6.99185386405956,NA,NA,NA,4.72817655211873,0.401924467360861,6.99185386405956,11.7638435479311,7.3304763318089e-06,0.00158367511790867,4.19690767183925,0.3917611005556,6.99185386405956,10.7129259793459,1.36767445488077e-05,0.000225229793208025,3.9442129307238,0.447122939592492,6.99185386405956,8.82131642433411,4.89284345797328e-05,0.000655494976106672,NA,NA,6.99185386405956,NA,NA,NA,4.01984600345992,0.391761100555601,6.99185386405956,10.2609626064429,1.81929381326087e-05,0.000256355037323123,1.87888522601633,0.501290017161791,6.99185386405956,3.74810022480444,0.00720131227723456,0.0926568846337514
"P22141",0.0063411838190083,0.0333135023273972,53.4449085254076,0.190348758791214,0.849757032870777,1,-0.0157582065887123,0.0335389378257214,53.4449085254076,-0.469848111189351,0.640375056479956,0.925557823137409,-0.000190290178647348,0.0333135023273972,53.4449085254076,-0.00571210366226945,0.995463693932289,1,-0.00466513799088376,0.0333135023273972,53.4449085254076,-0.140037452232908,0.88915682815063,1,-0.00816480192788735,0.0334823144600972,53.4449085254076,-0.243854167776179,0.80827743455922,1,0.00373094948257688,0.0333162495332581,53.4449085254076,0.111985878808251,0.911254146881266,1,0.00186605200925525,0.0333135023273972,53.4449085254076,0.0560148852232986,0.955538837171533,1,-0.00673343583944605,0.0335686102584752,53.4449085254076,-0.200587268510647,0.841782694805266,1
"P00498",1.06066751205787e-19,2.53103621038446e-10,106.090760772062,4.19064534796504e-10,0.999999999666422,1,-1.91014155487357e-20,2.53103621038446e-10,106.090760772062,-7.54687565131051e-11,0.999999999939926,1,-1.77177491136069e-19,2.53103621038446e-10,106.090760772062,-7.00019582529623e-10,0.99999999944278,1,9.18671502360556e-20,2.53103621038446e-10,106.090760772062,3.62962607406163e-10,0.999999999711079,1,5.75660063882487e-20,2.53103621038446e-10,106.090760772062,2.2744046944909e-10,0.999999999818956,1,2.1164293490277e-20,2.53103621038446e-10,106.090760772062,8.36190861412534e-11,0.999999999933439,1,1.70389415252581e-19,2.53103621038446e-10,106.090760772062,6.7320022745427e-10,0.999999999464128,1,-7.03058964480458e-20,2.53103621038446e-10,106.090760772062,-2.77775150586907e-10,0.999999999778889,1
"P49723",0.232922280383052,0.0578848020617593,126.962124392571,4.02389352795123,9.77277472840824e-05,0.0012022064150026,0.0245124562542535,0.0588075859814518,126.962124392571,0.416824731795399,0.677510504843363,0.949245833224784,0.0486014757875347,0.0587355387950169,126.962124392571,0.827462840804962,0.409527354738883,0.998082054417761,0.150337605981822,0.05801179349717,126.962124392571,2.59150074353684,0.0106747997884117,0.0607006833841908,0.0828569052352071,0.0580713837345905,126.962124392571,1.42681127789027,0.156088905848779,0.412863146869638,0.0673149623486035,0.0580777758937129,126.962124392571,1.15904855708999,0.248611696795804,1,0.253768122664289,0.0578848020617593,126.962124392571,4.384019874397,2.41886094018727e-05,0.000307314299777891,-0.104517503358334,0.0580346045822321,126.962124392571,-1.800951417016,0.0740842077752393,0.391732934263594
"P00812",-0.108270271370307,0.0638352628260666,69.8975792642583,-1.69608875372399,0.0943190058477015,0.275165365533408,-0.198827342446841,0.06674739384715,69.8975792642583,-2.97880308109335,0.00397620382729674,0.0188869681796595,0.014696153390522,0.0649419254136075,69.8975792642583,0.226296853641525,0.821631003830641,1,-0.155345759861226,0.0623526101761633,69.8975792642583,-2.49140748755075,0.0151003381351223,0.0758939072505497,-0.222162354662222,0.0639896296609762,69.8975792642583,-3.47184935807977,0.000890657111115746,0.00775572203499667,-0.0376607530528334,0.0635348810136689,69.8975792642583,-0.592757119427533,0.555256667866247,1,-0.121238610051368,0.063614247903689,69.8975792642583,-1.90584050030618,0.0607837739137124,0.197208162722297,-0.126033948359958,0.0678715597853562,69.8975792642583,-1.85694786974898,0.0675323604821832,0.372392730658896
"P25374",-0.829767011759366,0.321401659823817,2.32706417759097,-2.58171352386363,0.105614962441833,0.295493125965417,NA,NA,2.32706417759097,NA,NA,NA,NA,NA,2.32706417759097,NA,NA,NA,NA,NA,2.32706417759097,NA,NA,NA,NA,NA,2.32706417759097,NA,NA,NA,NA,NA,2.32706417759097,NA,NA,NA,NA,NA,2.32706417759097,NA,NA,NA,NA,NA,2.32706417759097,NA,NA,NA
"P31539",0.180514853006287,0.0353159503729347,416.922023291602,5.11142560514609,4.88044617160868e-07,1.30425716655059e-05,-0.0115418884739227,0.0354540490610768,416.922023291602,-0.325545002040233,0.744931944933456,1,0.0231641930808471,0.0355121598740105,416.922023291602,0.652289051497533,0.514574178467709,1,0.107371750757227,0.0354500895169336,416.922023291602,3.02881465802613,0.00260777779201447,0.0212465264317811,0.111643215424537,0.035116793979079,416.922023291602,3.1791972664432,0.0015869891097304,0.0124233995963743,0.0276947163826206,0.0355809263855747,416.922023291602,0.778358496979681,0.4367992042881,1,0.171017129107807,0.035681215340523,416.922023291602,4.79291771526582,2.29014395395274e-06,4.12758503328692e-05,0.0477974927238655,0.0367513543954052,416.922023291602,1.30056411553206,0.194126110819862,0.68949184616607
